Date,Close,High,Low,Open,Volume,SMA20,SMA50,Signal,Position,Returns,Strategy_Returns,Equity,Buy_Hold
2021-03-31,14690.7001953125,14813.75,14670.25,14811.849609375,463900,14838.777490234375,14774.8380078125,1,1.0,-0.010400699094332388,-0.010400699094332388,0.9835122047416441,1.0479509359284165
2021-04-01,14867.349609375,14883.2001953125,14692.4501953125,14798.400390625,445000,14836.189990234376,14786.55900390625,1,1.0,0.012024574166918489,0.012024574166918489,0.9953385201916296,1.0605520996807793
2021-04-05,14637.7998046875,14849.849609375,14459.5,14837.7001953125,509700,14805.8,14788.8919921875,1,1.0,-0.015439860548026041,-0.015439860548026041,0.9799706322417923,1.044177323157792
2021-04-06,14683.5,14779.099609375,14573.900390625,14737.0,475300,14785.9375,14789.66798828125,0,1.0,0.003122067245233451,0.003122067245233451,0.9830301664540051,1.0474373149766385
2021-04-07,14819.0498046875,14879.7998046875,14649.849609375,14716.4501953125,0,14779.985009765625,14794.2419921875,0,0.0,0.009231436965811968,-0.0005,0.9825386513707781,1.0571066665254847
2021-04-08,14873.7998046875,14984.150390625,14821.099609375,14875.650390625,514800,14775.864990234375,14804.27998046875,0,0.0,0.0036945688638336804,0.0,0.9825386513707781,1.0610122199013807
2021-04-09,14834.849609375,14918.4501953125,14785.650390625,14882.650390625,504100,14762.687451171874,14816.19896484375,0,0.0,-0.0026187118170183377,-0.0,0.9825386513707781,1.058233734663124
2021-04-12,14310.7998046875,14652.5,14248.7001953125,14644.650390625,650200,14719.487451171875,14823.0649609375,0,0.0,-0.03532558930400764,-0.0,0.9825386513707781,1.0208510043647683
2021-04-13,14504.7998046875,14528.900390625,14274.900390625,14364.900390625,605100,14693.179931640625,14836.8099609375,0,0.0,0.013556195506029933,0.0,0.9825386513707781,1.0346898601624641
2021-04-15,14581.4501953125,14597.5498046875,14353.2001953125,14522.400390625,568000,14675.77744140625,14855.74697265625,0,0.0,0.005284484560774683,0.0,0.9825386513707781,1.0401576627536828
2021-04-16,14617.849609375,14697.7001953125,14559.0,14599.599609375,577200,14661.147412109374,14862.4799609375,0,0.0,0.002496282165007191,0.0,0.9825386513707781,1.0427541897760104
2021-04-19,14359.4501953125,14382.2998046875,14191.400390625,14306.599609375,512300,14643.054931640625,14856.71197265625,0,0.0,-0.017676978554819645,-0.0,0.9825386513707781,1.0243214463253916
2021-04-20,14296.400390625,14526.9501953125,14207.2998046875,14526.7001953125,467400,14629.982470703126,14846.8409765625,0,0.0,-0.004390823034999047,-0.0,0.9825386513707781,1.0198238321236226
2021-04-22,14406.150390625,14424.75,14151.400390625,14219.150390625,524600,14613.089990234375,14837.0509765625,0,0.0,0.007676757575422188,0.0,0.9825386513707781,1.0276527724524738
2021-04-23,14341.349609375,14461.150390625,14273.2998046875,14326.349609375,498100,14593.337451171876,14825.39296875,0,0.0,-0.004498133053794207,-0.0,0.9825386513707781,1.023030253548882
2021-04-26,14485.0,14557.5,14421.2998046875,14449.4501953125,452700,14576.849951171875,14812.77697265625,0,0.0,0.010016518287169873,0.0,0.9825386513707781,1.0332774547918824
2021-04-27,14653.0498046875,14667.5498046875,14484.849609375,14493.7998046875,451800,14582.032421875,14803.65197265625,0,0.0,0.011601643402658013,0.0,0.9825386513707781,1.0452651713583838
2021-04-28,14864.5498046875,14890.25,14694.9501953125,14710.5,457000,14609.014892578125,14798.81296875,0,0.0,0.014433855260107098,0.0,0.9825386513707781,1.0603523775502017
2021-04-29,14894.900390625,15044.349609375,14814.4501953125,14979.0,517500,14628.394921875,14793.24498046875,0,0.0,0.0020418099664161193,0.0,0.9825386513707781,1.0625174156025967
2021-04-30,14631.099609375,14855.4501953125,14601.7001953125,14747.349609375,613900,14617.694921875,14782.6009765625,0,0.0,-0.017710812045177438,-0.0,0.9825386513707781,1.0436993693601315
2021-05-03,14634.150390625,14673.849609375,14416.25,14481.0498046875,448900,14614.867431640625,14768.98998046875,0,0.0,0.00020851346320172048,0.0,0.9825386513707781,1.0439169947301783
2021-05-04,14496.5,14723.400390625,14461.5,14687.25,503400,14596.324951171875,14752.6509765625,0,0.0,-0.00940610742344028,-0.0,0.9825386513707781,1.0340977993365914
2021-05-05,14617.849609375,14637.900390625,14506.599609375,14604.150390625,455900,14595.32744140625,14740.8299609375,0,0.0,0.0083709591539336,0.0,0.9825386513707781,1.0427541897760106
2021-05-06,14724.7998046875,14743.900390625,14611.5,14668.349609375,467800,14597.392431640625,14732.946953125,0,0.0,0.0073164109749706,0.0,0.9825386513707781,1.0503834079742844
2021-05-07,14823.150390625,14863.0498046875,14765.5,14816.849609375,488000,14597.5974609375,14729.7749609375,0,0.0,0.006679247748155426,0.0,0.9825386513707781,1.0573991789866966
2021-05-10,14942.349609375,14966.900390625,14892.5,14928.25,522000,14601.024951171876,14735.10794921875,0,0.0,0.008041422748121585,0.0,0.9825386513707781,1.0659021727984452
2021-05-11,14850.75,14900.0,14771.400390625,14789.7001953125,647400,14601.819970703125,14737.966953125,0,0.0,-0.006130201191218876,-0.0,0.9825386513707781,1.0593679780290335
2021-05-12,14696.5,14824.0498046875,14649.7001953125,14823.5498046875,643800,14621.10498046875,14732.256953125,0,0.0,-0.0103866808073666,-0.0,0.9825386513707781,1.0483646609837005
2021-05-14,14677.7998046875,14749.650390625,14591.900390625,14749.400390625,620700,14629.75498046875,14723.86595703125,0,0.0,-0.0012724250884564858,-0.0,0.9825386513707781,1.0470306954872137
2021-05-17,14923.150390625,14938.0,14725.349609375,14756.25,546400,14646.839990234375,14731.74595703125,0,0.0,0.01671576048197254,0.0,0.9825386513707781,1.0645326098102512
2021-05-18,15108.099609375,15137.25,15043.7001953125,15067.2001953125,583900,14671.352490234374,14738.676953125,0,0.0,0.012393443335275034,0.0,0.9825386513707781,1.077725834388487
2021-05-19,15030.150390625,15133.400390625,15008.849609375,15058.599609375,569100,14704.8875,14740.89796875,0,0.0,-0.005159432408138875,-0.0,0.9825386513707781,1.0721653807914546
2021-05-20,14906.0498046875,15069.7998046875,14884.900390625,15042.599609375,480300,14735.369970703125,14734.10697265625,1,0.0,-0.00825677606093067,-0.0,0.9825386513707781,1.0633127513419771
2021-05-21,15175.2998046875,15190.0,14985.849609375,14987.7998046875,572900,14773.82744140625,14735.99796875,1,1.0,0.01806313567497475,0.01756313567497475,0.9997951110107098,1.082519513834398
2021-05-24,15197.7001953125,15256.25,15145.4501953125,15211.349609375,579800,14816.644970703124,14741.18998046875,1,1.0,0.001476108604989923,0.001476108604989923,1.0012709171772995,1.0841174302038383
2021-05-25,15208.4501953125,15293.849609375,15163.400390625,15291.75,441500,14852.81748046875,14746.23498046875,1,1.0,0.0007073438653115716,0.0007073438653115716,1.0019791600180799,1.0848842740173703
2021-05-26,15301.4501953125,15319.900390625,15194.9501953125,15257.0498046875,384000,14885.2375,14750.2959765625,1,1.0,0.006115021504864648,0.006115021504864648,1.0081062841290167,1.091518364683276
2021-05-27,15337.849609375,15384.5498046875,15272.5,15323.9501953125,0,14908.902490234375,14753.55697265625,1,1.0,0.002378821196545866,0.002378821196545866,1.0105043887260738,1.0941148917056036
2021-05-28,15435.650390625,15469.650390625,15394.75,15421.2001953125,468100,14935.939990234376,14761.6509765625,1,1.0,0.006376433707514062,0.006376433707514062,1.0169478029719377,1.1010914427809684
2021-05-31,15582.7998046875,15606.349609375,15374.0,15437.75,436000,14983.525,14774.71697265625,1,1.0,0.009533088035724946,0.009533088035724946,1.0266424559054061,1.1115882444403828
2021-06-01,15574.849609375,15660.75,15528.2998046875,15629.650390625,409600,15030.5599609375,14788.0049609375,1,1.0,-0.0005101904286871628,-0.0005101904286871628,1.0261186727507192,1.1110211227574283
2021-06-02,15576.2001953125,15597.4501953125,15459.849609375,15520.349609375,428600,15084.544970703126,14805.10296875,1,1.0,8.67158252806366e-05,8.67158252806366e-05,1.0262076534782627,1.1111174658709924
2021-06-03,15690.349609375,15705.099609375,15611.0,15655.5498046875,410200,15138.169970703126,14827.75296875,1,1.0,0.0073284506253876724,0.0073284506253876724,1.0337281655981732,1.1192602353586338
2021-06-04,15670.25,15733.599609375,15622.349609375,15712.5,414200,15185.44248046875,14846.27796875,1,1.0,-0.001281017305247989,-0.001281017305247989,1.0324039419291196,1.1178264436280634
2021-06-07,15751.650390625,15773.4501953125,15678.099609375,15725.099609375,394000,15231.86748046875,14866.58296875,1,1.0,0.0051945814919991395,0.0051945814919991395,1.0377668483381315,1.123633084183401
2021-06-08,15740.099609375,15778.7998046875,15680.0,15773.900390625,378200,15271.75498046875,14885.0899609375,1,1.0,-0.0007333060957773752,-0.0007333060957773752,1.0370058475822495,1.1228091171933523
2021-06-09,15635.349609375,15800.4501953125,15566.900390625,15766.2998046875,457900,15310.9849609375,14906.8089453125,1,1.0,-0.006654976944212576,-0.006654976944212576,1.030104597575576,1.115336848405679
2021-06-10,15737.75,15751.25,15648.5,15692.099609375,298300,15363.0474609375,14935.0659375,1,1.0,0.0065492869160790335,0.0065492869160790335,1.0368510481386706,1.122641509433963
2021-06-11,15799.349609375,15835.5498046875,15749.7998046875,15796.4501953125,363000,15419.124951171874,14960.90693359375,1,1.0,0.003914130633349666,0.003914130633349666,1.040909418588411,1.1270356749563084
2021-06-14,15811.849609375,15823.0498046875,15606.5,15791.400390625,392900,15463.559912109375,14980.24193359375,1,1.0,0.0007911718082738162,0.0007911718082738162,1.0417329567753648,1.1279273538092527
2021-06-15,15869.25,15901.599609375,15842.400390625,15866.9501953125,323300,15501.617431640625,15003.8129296875,1,1.0,0.003630213545097627,0.003630213545097627,1.0455146698654254,1.1320219709669372
